Admit Source;Admit Type;Appt Start Time;Care Score;Check-In Time;Clinic Name;Department;Diagnosis Primary;Discharge Datetime new;Encounter Number;Encounter Status;Number of Records;Wait Time Min
Banking;Emergency;20/04/2020 12:05;2;20/04/2020 12:05;CitiBank Colombia;Current Account;;;STA-200420-011753;Discharged;1;117
Deposit Account;Emergency;20/04/2020 12:03;2;20/04/2020 12:03;CitiBank Colombia;Current Account;;;STA-200420-011719;Discharged;1;122
Loans;Emergency;20/04/2020 12:01;3;20/04/2020 12:01;CitiBank Colombia;Current Account;;;STA-200420-011680;ED Discharged;1;108
Investment;Emergency;20/04/2020 11:58;3;20/04/2020 11:58;CitiBank Colombia;Current Account;;;STA-200420-011630;ED Discharged;1;100
Cards;Emergency;20/04/2020 11:58;3;20/04/2020 11:58;CitiBank Colombia;Current Account;;;STA-200420-011625;ED Discharged;1;47
Banking;Emergency;20/04/2020 11:53;3;20/04/2020 11:53;CitiBank Colombia;Current Account;;;STA-200420-011529;Discharged;1;68
Deposit Account;Emergency;20/04/2020 11:45;3;20/04/2020 11:45;CitiBank Colombia;Current Account;;;STA-200420-011425;ED Discharged;1;52
Loans;Emergency;20/04/2020 11:32;3;20/04/2020 11:32;CitiBank Colombia;Current Account;;;STA-200420-011238;ED Discharged;1;73
Investment;Emergency;20/04/2020 11:26;2;20/04/2020 11:26;CitiBank Colombia;Current Account;;;STA-200420-011124;ED Discharged;1;128
Cards;Emergency;20/04/2020 11:24;5;20/04/2020 11:24;CitiBank Colombia;Current Account;;;STA-200420-011101;ED Discharged;1;71
Banking;Emergency;20/04/2020 11:18;2;20/04/2020 11:18;CitiBank Colombia;Current Account;;;STA-200420-010995;ED Discharged;1;9
Deposit Account;Emergency;20/04/2020 11:10;3;20/04/2020 11:10;CitiBank Colombia;Current Account;;;STA-200420-010846;ED Discharged;1;67
Loans;Emergency;20/04/2020 11:10;3;20/04/2020 11:10;CitiBank Colombia;Current Account;;;STA-200420-010845;ED Discharged;1;86
Investment;Emergency;20/04/2020 11:09;3;20/04/2020 11:09;CitiBank Colombia;Current Account;;;STA-200420-010826;ED Discharged;1;8
Cards;Emergency;20/04/2020 11:08;2;20/04/2020 11:08;CitiBank Colombia;Current Account;;;STA-200420-010814;ED Discharged;1;109
Banking;Emergency;20/04/2020 11:06;3;20/04/2020 11:06;CitiBank Colombia;Current Account;;;STA-200420-010794;ED Discharged;1;34
Deposit Account;Emergency;20/04/2020 11:06;3;20/04/2020 11:06;CitiBank Colombia;Current Account;;;STA-200420-010791;ED Discharged;1;120
Loans;Emergency;20/04/2020 11:06;5;20/04/2020 11:06;CitiBank Colombia;Current Account;;;STA-200420-010790;ED Discharged;1;14
Investment;Emergency;20/04/2020 11:01;5;20/04/2020 11:01;CitiBank Colombia;Current Account;;;STA-200420-010701;ED Discharged;1;30
Cards;Emergency;20/04/2020 10:53;5;20/04/2020 10:53;CitiBank Colombia;Current Account;;;STA-200420-010536;ED Discharged;1;11
Banking;Emergency;20/04/2020 10:50;3;20/04/2020 10:50;CitiBank Colombia;Current Account;;;STA-200420-010482;ED Discharged;1;124
Deposit Account;Emergency;20/04/2020 10:43;2;20/04/2020 10:43;CitiBank Colombia;Current Account;;;STA-200420-010344;Discharged;1;120
Loans;Emergency;20/04/2020 10:41;2;20/04/2020 10:41;CitiBank Colombia;Current Account;;;STA-200420-010299;ED Discharged;1;101
Investment;Emergency;20/04/2020 10:28;3;20/04/2020 10:28;CitiBank Colombia;Current Account;;;STA-200420-010005;ED Discharged;1;2
Cards;Emergency;20/04/2020 10:23;2;20/04/2020 10:23;CitiBank Colombia;Current Account;;;STA-200420-009894;ED Discharged;1;106
Banking;Emergency;20/04/2020 10:20;2;20/04/2020 10:20;CitiBank Colombia;Current Account;;;STA-200420-009854;ED Discharged;1;135
Deposit Account;Emergency;20/04/2020 10:20;2;20/04/2020 10:20;CitiBank Colombia;Current Account;;;STA-200420-009853;ED Discharged;1;112
Loans;Emergency;20/04/2020 10:20;5;20/04/2020 10:20;CitiBank Colombia;Current Account;;;STA-200420-009840;ED Discharged;1;54
Investment;Emergency;20/04/2020 10:19;3;20/04/2020 10:19;CitiBank Colombia;Current Account;;;STA-200420-009825;ED Discharged;1;17
Cards;Emergency;20/04/2020 10:19;2;20/04/2020 10:19;CitiBank Colombia;Current Account;;;STA-200420-009813;ED Discharged;1;12
Banking;Emergency;20/04/2020 10:14;2;20/04/2020 10:14;CitiBank Colombia;Current Account;;;STA-200420-009735;ED Discharged;1;118
Deposit Account;Emergency;20/04/2020 10:11;2;20/04/2020 10:11;CitiBank Colombia;Current Account;;;STA-200420-009686;ED Discharged;1;40
Loans;Emergency;20/04/2020 10:09;3;20/04/2020 10:09;CitiBank Colombia;Current Account;;;STA-200420-009639;ED Discharged;1;88
Investment;Emergency;20/04/2020 10:09;3;20/04/2020 10:09;CitiBank Colombia;Current Account;;;STA-200420-009638;ED Discharged;1;70
Cards;Emergency;20/04/2020 10:02;2;20/04/2020 10:02;CitiBank Colombia;Current Account;;;STA-200420-009530;ED Discharged;1;93
Banking;Emergency;20/04/2020 9:59;2;20/04/2020 9:59;CitiBank Colombia;Current Account;;;STA-200420-009471;Discharged;1;66
Deposit Account;Emergency;20/04/2020 9:48;2;20/04/2020 9:48;CitiBank Colombia;Current Account;;;STA-200420-009282;ED Discharged;1;93
Loans;Emergency;20/04/2020 9:44;5;20/04/2020 9:44;CitiBank Colombia;Current Account;;;STA-200420-009200;ED Discharged;1;14
Investment;Emergency;20/04/2020 9:37;2;20/04/2020 9:37;CitiBank Colombia;Current Account;;;STA-200420-009088;ED Discharged;1;92
Cards;Emergency;20/04/2020 9:34;2;20/04/2020 9:34;CitiBank Colombia;Current Account;;;STA-200420-009028;ED Discharged;1;58
Banking;Emergency;20/04/2020 9:30;3;20/04/2020 9:30;CitiBank Colombia;Current Account;;;STA-200420-008955;Discharged;1;77
Deposit Account;Emergency;20/04/2020 9:29;3;20/04/2020 9:29;CitiBank Colombia;Current Account;;;STA-200420-008930;ED Discharged;1;107
Loans;Emergency;20/04/2020 9:21;2;20/04/2020 9:21;CitiBank Colombia;Current Account;;;STA-200420-008767;ED Discharged;1;135
Investment;Emergency;20/04/2020 9:17;2;20/04/2020 9:17;CitiBank Colombia;Current Account;;;STA-200420-008695;ED Discharged;1;18
Cards;Emergency;20/04/2020 7:50;2;20/04/2020 7:50;CitiBank Colombia;Current Account;;;STA-200420-007349;ED Discharged;1;131
Banking;Emergency;20/04/2020 7:14;3;20/04/2020 7:14;CitiBank Colombia;Current Account;;;STA-200420-006834;ED Discharged;1;0
Deposit Account;Emergency;20/04/2020 4:55;2;20/04/2020 4:55;CitiBank Colombia;Current Account;;;STA-200420-004445;ED Discharged;1;142
Loans;Emergency;19/04/2020 15:31;2;19/04/2020 15:31;CitiBank Colombia;Current Account;;;STA-200419-001056;ED Discharged;1;6
Investment;Emergency;19/04/2020 13:23;2;19/04/2020 13:23;CitiBank Colombia;Current Account;;;STA-200419-000924;ED Discharged;1;36
Cards;Emergency;19/04/2020 12:05;2;19/04/2020 12:05;CitiBank Colombia;Current Account;;;STA-200419-000858;ED Discharged;1;74
Banking;Emergency;19/04/2020 11:49;3;19/04/2020 11:49;CitiBank Colombia;Current Account;;;STA-200419-000841;ED Discharged;1;46
Deposit Account;Emergency;19/04/2020 9:55;3;19/04/2020 9:55;CitiBank Colombia;Current Account;;;STA-200419-000705;ED Discharged;1;135
Loans;Emergency;18/04/2020 16:35;2;18/04/2020 16:35;CitiBank Colombia;Current Account;;;STA-200418-001076;ED Discharged;1;126
Investment;Emergency;18/04/2020 15:00;5;18/04/2020 15:00;CitiBank Colombia;Current Account;;;STA-200418-000993;ED Discharged;1;6
Cards;Emergency;18/04/2020 13:14;3;18/04/2020 13:14;CitiBank Colombia;Current Account;;;STA-200418-000806;ED Discharged;1;139
Banking;Emergency;18/04/2020 13:14;5;18/04/2020 13:14;CitiBank Colombia;Current Account;;;STA-200418-000803;ED Discharged;1;32
Deposit Account;Emergency;18/04/2020 8:06;2;18/04/2020 8:06;CitiBank Colombia;Current Account;;;STA-200418-000628;ED Discharged;1;94
Loans;Emergency;17/04/2020 21:06;6;17/04/2020 21:06;CitiBank Colombia;Savings Account;;;STA-200417-015170;Inpatient Discharged;1;55
Investment;Emergency;17/04/2020 20:56;2;17/04/2020 20:56;CitiBank Colombia;Savings Account;;;STA-200417-015157;Inpatient Discharged;1;57
Cards;Emergency;17/04/2020 20:54;2;17/04/2020 20:54;CitiBank Colombia;Savings Account;;;STA-200417-015155;Inpatient Discharged;1;130
Banking;Urgent;17/04/2020 20:44;3;17/04/2020 20:44;CitiBank Colombia;Fixed Deposit;;;STA-200417-015142;Inpatient Discharged;1;33
Deposit Account;Urgent;17/04/2020 20:29;3;17/04/2020 20:29;CitiBank Colombia;Fixed Deposit;;;STA-200417-015115;Inpatient Discharged;1;122
Loans;Urgent;17/04/2020 19:56;3;17/04/2020 19:56;CitiBank Colombia;Fixed Deposit;;;STA-200417-015040;Inpatient Discharged;1;140
Investment;Elective;17/04/2020 19:44;3;17/04/2020 19:44;CitiBank Colombia;Mobile Banking;;;STA-200417-015020;Inpatient Discharged;1;9
Cards;Elective;17/04/2020 19:27;3;17/04/2020 19:27;CitiBank Colombia;Mobile Banking;;;STA-200417-014973;Inpatient Discharged;1;29
Banking;Elective;17/04/2020 19:22;2;17/04/2020 19:22;CitiBank Colombia;Mobile Banking;;;STA-200417-014963;Inpatient Discharged;1;41
Deposit Account;Elective;17/04/2020 19:18;3;17/04/2020 19:18;CitiBank Colombia;Mobile Banking;;;STA-200417-014954;Inpatient Discharged;1;118
Loans;Emergency;17/04/2020 19:18;4;17/04/2020 19:18;CitiBank Colombia;Mobile Banking;;;STA-200417-014953;Inpatient Discharged;1;15
Investment;Emergency;17/04/2020 19:05;4;17/04/2020 19:05;CitiBank Colombia;Mobile Banking;;;STA-200417-014910;Inpatient Discharged;1;37
Cards;Emergency;17/04/2020 18:53;2;17/04/2020 18:53;CitiBank Colombia;Mobile Banking;;;STA-200417-014874;Inpatient Discharged;1;55
Banking;Emergency;17/04/2020 18:49;2;17/04/2020 18:49;CitiBank Colombia;Mobile Banking;;;STA-200417-014853;Inpatient Discharged;1;99
Deposit Account;Emergency;17/04/2020 18:42;3;17/04/2020 18:42;CitiBank Colombia;Mobile Banking;;;STA-200417-014830;Inpatient Discharged;1;110
Loans;Emergency;17/04/2020 18:26;2;17/04/2020 18:26;CitiBank Colombia;Mobile Banking;;;STA-200417-014747;Inpatient Discharged;1;122
Investment;Emergency;17/04/2020 18:20;3;17/04/2020 18:20;CitiBank Colombia;Mobile Banking;;;STA-200417-014725;Inpatient Discharged;1;130
Cards;Emergency;17/04/2020 18:17;3;17/04/2020 18:17;CitiBank Colombia;Mobile Banking;;;STA-200417-014702;Inpatient Discharged;1;134
Banking;Emergency;17/04/2020 18:16;3;17/04/2020 18:16;CitiBank Colombia;Fixed Deposit;;;STA-200417-014695;Inpatient Discharged;1;25
Deposit Account;Emergency;17/04/2020 18:10;3;17/04/2020 18:10;CitiBank Colombia;Fixed Deposit;;;STA-200417-014657;Inpatient Discharged;1;89
Loans;Elective;17/04/2020 18:07;6;17/04/2020 18:07;CitiBank Colombia;Savings Account;;;STA-200417-014634;Inpatient Discharged;1;5
Investment;Elective;17/04/2020 18:04;4;17/04/2020 18:04;CitiBank Colombia;Savings Account;;;STA-200417-014611;Inpatient Discharged;1;109
Cards;Elective;17/04/2020 17:53;2;17/04/2020 17:53;CitiBank Colombia;Savings Account;;;STA-200417-014552;Inpatient Discharged;1;140
Banking;Elective;17/04/2020 17:49;4;17/04/2020 17:49;CitiBank Colombia;Fixed Deposit;;;STA-200417-014522;Inpatient Discharged;1;42
Deposit Account;Elective;17/04/2020 17:47;3;17/04/2020 17:47;CitiBank Colombia;Fixed Deposit;;;STA-200417-014509;Inpatient Discharged;1;118
Loans;Elective;17/04/2020 17:41;2;17/04/2020 17:41;CitiBank Colombia;Fixed Deposit;;;STA-200417-014474;Inpatient Discharged;1;137
Investment;Elective;17/04/2020 17:31;2;17/04/2020 17:31;CitiBank Colombia;Savings Account;;;STA-200417-014401;Discharged;1;25
Cards;Elective;17/04/2020 17:29;2;17/04/2020 17:29;CitiBank Colombia;Savings Account;;;STA-200417-014381;Discharged;1;92
Banking;Elective;17/04/2020 17:28;4;17/04/2020 17:28;CitiBank Colombia;Customer Care;;;STA-200417-014372;Inpatient Discharged;1;25
Deposit Account;Elective;17/04/2020 17:25;4;17/04/2020 17:25;CitiBank Colombia;Customer Care;;;STA-200417-014352;Inpatient Discharged;1;50
Loans;Elective;17/04/2020 17:25;2;17/04/2020 17:25;CitiBank Colombia;Customer Care;;;STA-200417-014351;Inpatient Discharged;1;64
Investment;Emergency;17/04/2020 17:24;2;17/04/2020 17:24;CitiBank Colombia;Mobile Banking;;;STA-200417-014336;Inpatient Discharged;1;10
Cards;Emergency;17/04/2020 17:19;2;17/04/2020 17:19;CitiBank Colombia;Mobile Banking;;;STA-200417-014290;Inpatient Discharged;1;23
Banking;Emergency;17/04/2020 17:16;2;17/04/2020 17:16;CitiBank Colombia;Mobile Banking;;;STA-200417-014268;Inpatient Discharged;1;68
Deposit Account;Urgent;17/04/2020 17:12;2;17/04/2020 17:12;CitiBank Colombia;Recurring Deposit;;;STA-200417-014241;Discharged;1;39
Loans;Urgent;17/04/2020 17:05;2;17/04/2020 17:05;CitiBank Colombia;Recurring Deposit;;;STA-200417-014187;Discharged;1;93
Investment;Urgent;17/04/2020 17:02;2;17/04/2020 17:02;CitiBank Colombia;Recurring Deposit;;;STA-200417-014164;Discharged;1;116
Cards;Urgent;17/04/2020 16:57;2;17/04/2020 16:57;CitiBank Colombia;Recurring Deposit;;;STA-200417-014119;Discharged;1;124
Banking;Elective;17/04/2020 16:52;5;17/04/2020 16:52;CitiBank Colombia;Fixed Deposit;;;STA-200417-014078;Inpatient Discharged;1;29
Deposit Account;Elective;17/04/2020 16:46;3;17/04/2020 16:46;CitiBank Colombia;Fixed Deposit;;;STA-200417-014026;Inpatient Discharged;1;31
Loans;Elective;17/04/2020 16:42;2;17/04/2020 16:42;CitiBank Colombia;Fixed Deposit;;;STA-200417-013986;Inpatient Discharged;1;117
Investment;Elective;17/04/2020 16:32;3;17/04/2020 16:32;CitiBank Colombia;Mobile Banking;;;STA-200417-013897;Inpatient Discharged;1;46
Cards;Elective;17/04/2020 16:28;2;17/04/2020 16:28;CitiBank Colombia;Mobile Banking;;;STA-200417-013861;Inpatient Discharged;1;82
Banking;Elective;17/04/2020 16:24;2;17/04/2020 16:24;CitiBank Colombia;Mobile Banking;;;STA-200417-013819;Inpatient Discharged;1;127
Deposit Account;Emergency;17/04/2020 16:20;2;17/04/2020 16:20;CitiBank Colombia;Mobile Banking;;;STA-200417-013781;Inpatient Discharged;1;139
Loans;Emergency;17/04/2020 16:18;3;17/04/2020 16:18;CitiBank Colombia;Mobile Banking;;;STA-200417-013760;Inpatient Discharged;1;143
Investment;Emergency;17/04/2020 16:16;3;17/04/2020 16:16;CitiBank Colombia;Mobile Banking;;;STA-200417-013746;Inpatient Discharged;1;7
Cards;Emergency;17/04/2020 16:15;3;17/04/2020 16:15;CitiBank Colombia;Mobile Banking;;;STA-200417-013733;Inpatient Discharged;1;129
Banking;Emergency;17/04/2020 16:09;3;17/04/2020 16:09;CitiBank Colombia;Mobile Banking;;;STA-200417-013679;Inpatient Discharged;1;27
Deposit Account;Emergency;17/04/2020 16:05;3;17/04/2020 16:05;CitiBank Colombia;Mobile Banking;;;STA-200417-013651;Inpatient Discharged;1;117
Loans;Emergency;17/04/2020 15:59;5;17/04/2020 15:59;CitiBank Colombia;Savings Account;;;STA-200417-013591;Inpatient Discharged;1;40
Investment;Emergency;17/04/2020 15:58;3;17/04/2020 15:58;CitiBank Colombia;Savings Account;;;STA-200417-013581;Inpatient Discharged;1;112
Cards;Emergency;17/04/2020 15:56;3;17/04/2020 15:56;CitiBank Colombia;Mobile Banking;;;STA-200417-013568;OBS Discharged;1;27
Banking;Emergency;17/04/2020 15:53;2;17/04/2020 15:53;CitiBank Colombia;Mobile Banking;;;STA-200417-013533;OBS Discharged;1;100
Deposit Account;Elective;17/04/2020 15:53;2;17/04/2020 15:53;CitiBank Colombia;Savings Account;;;STA-200417-013530;Inpatient Discharged;1;61
Loans;Elective;17/04/2020 15:52;2;17/04/2020 15:52;CitiBank Colombia;Savings Account;;;STA-200417-013518;Inpatient Discharged;1;143
Investment;Emergency;17/04/2020 15:43;4;17/04/2020 15:43;CitiBank Colombia;Fixed Deposit;;;STA-200417-013435;Inpatient Discharged;1;35
Cards;Emergency;17/04/2020 15:41;2;17/04/2020 15:41;CitiBank Colombia;Fixed Deposit;;;STA-200417-013416;Inpatient Discharged;1;112
Banking;Emergency;17/04/2020 15:35;4;17/04/2020 15:35;CitiBank Colombia;Fixed Deposit;;;STA-200417-013371;Inpatient Discharged;1;143
Deposit Account;Urgent;17/04/2020 15:31;2;17/04/2020 15:31;CitiBank Colombia;Savings Account;;;STA-200417-013322;Inpatient Discharged;1;41
Loans;Urgent;17/04/2020 15:23;2;17/04/2020 15:23;CitiBank Colombia;Savings Account;;;STA-200417-013245;Inpatient Discharged;1;85
Investment;Emergency;17/04/2020 15:22;3;17/04/2020 15:22;CitiBank Colombia;Mobile Banking;;;STA-200417-013239;OBS Discharged;1;36
Cards;Emergency;17/04/2020 15:17;3;17/04/2020 15:17;CitiBank Colombia;Mobile Banking;;;STA-200417-013189;OBS Discharged;1;112
Banking;Emergency;17/04/2020 15:17;5;17/04/2020 15:17;CitiBank Colombia;Current Account;;;STA-200417-013185;ED Discharged;1;47
Deposit Account;Emergency;17/04/2020 15:15;2;17/04/2020 15:15;CitiBank Colombia;Current Account;;;STA-200417-013164;ED Discharged;1;101
Loans;Emergency;17/04/2020 15:05;5;17/04/2020 15:05;CitiBank Colombia;Current Account;;;STA-200417-013068;Discharged;1;26
Investment;Emergency;17/04/2020 15:03;2;17/04/2020 15:03;CitiBank Colombia;Current Account;;;STA-200417-013058;ED Discharged;1;98
Cards;Emergency;17/04/2020 14:51;2;17/04/2020 14:51;CitiBank Colombia;Current Account;;;STA-200417-012911;ED Discharged;1;93
Banking;Emergency;17/04/2020 14:48;2;17/04/2020 14:48;CitiBank Colombia;Current Account;;;STA-200417-012870;ED Discharged;1;126
Deposit Account;Emergency;17/04/2020 14:33;3;17/04/2020 14:33;CitiBank Colombia;Savings Account;;;STA-200417-012707;Inpatient Discharged;1;5
Loans;Emergency;17/04/2020 14:25;2;17/04/2020 14:25;CitiBank Colombia;Savings Account;;;STA-200417-012607;Inpatient Discharged;1;20
Investment;Emergency;17/04/2020 14:17;2;17/04/2020 14:17;CitiBank Colombia;Current Account;;;STA-200417-012522;ED Discharged;1;114
Cards;Emergency;17/04/2020 13:55;5;17/04/2020 13:55;CitiBank Colombia;Current Account;;;STA-200417-012255;ED Discharged;1;35
Banking;Emergency;17/04/2020 13:51;3;17/04/2020 13:51;CitiBank Colombia;Current Account;;;STA-200417-012230;ED Discharged;1;48
Deposit Account;Emergency;17/04/2020 13:50;2;17/04/2020 13:50;CitiBank Colombia;Current Account;;;STA-200417-012213;ED Discharged;1;121
Loans;Emergency;17/04/2020 13:49;6;17/04/2020 13:49;CitiBank Colombia;Current Account;;;STA-200417-012199;ED Discharged;1;44
Investment;Emergency;17/04/2020 13:47;6;17/04/2020 13:47;CitiBank Colombia;Current Account;;;STA-200417-012175;Discharged;1;29
Cards;Emergency;17/04/2020 13:45;6;17/04/2020 13:45;CitiBank Colombia;Current Account;;;STA-200417-012155;ED Discharged;1;54
Banking;Emergency;17/04/2020 13:38;2;17/04/2020 13:38;CitiBank Colombia;Current Account;;;STA-200417-012088;ED Discharged;1;101
Deposit Account;Emergency;17/04/2020 13:30;6;17/04/2020 13:30;CitiBank Colombia;Current Account;;;STA-200417-012015;ED Discharged;1;14
Loans;Elective;17/04/2020 13:27;6;17/04/2020 13:27;CitiBank Colombia;Balance Enquiry;;;STA-200417-011981;Day Surg Discharged;1;41
Investment;Elective;17/04/2020 13:15;6;17/04/2020 13:15;CitiBank Colombia;Balance Enquiry;;;STA-200417-011867;Day Surg Discharged;1;51
Cards;Emergency;17/04/2020 13:14;2;17/04/2020 13:14;CitiBank Colombia;Current Account;;;STA-200417-011860;ED Discharged;1;101
Banking;Emergency;17/04/2020 13:13;6;17/04/2020 13:13;CitiBank Colombia;Current Account;;;STA-200417-011849;ED Discharged;1;36
Deposit Account;Elective;17/04/2020 13:09;4;17/04/2020 13:09;CitiBank Colombia;Mobile Banking;;;STA-200417-011815;Day Surg Discharged;1;16
Loans;Elective;17/04/2020 13:09;2;17/04/2020 13:09;CitiBank Colombia;Mobile Banking;;;STA-200417-011807;Day Surg Discharged;1;110
Investment;Emergency;17/04/2020 13:05;2;17/04/2020 13:05;CitiBank Colombia;Current Account;;;STA-200417-011783;ED Discharged;1;88
Cards;Elective;17/04/2020 13:00;4;17/04/2020 13:00;CitiBank Colombia;Savings Account;;;STA-200417-011719;Day Surg Discharged;1;28
Banking;Elective;17/04/2020 12:58;2;17/04/2020 12:58;CitiBank Colombia;Savings Account;;;STA-200417-011701;Day Surg Discharged;1;95
Deposit Account;Elective;17/04/2020 12:55;2;17/04/2020 12:55;CitiBank Colombia;Mobile Banking;;;STA-200417-011672;Day Surg Discharged;1;92
Loans;Elective;17/04/2020 12:53;2;17/04/2020 12:53;CitiBank Colombia;Mobile Banking;;;STA-200417-011656;Day Surg Discharged;1;99
Investment;Elective;17/04/2020 12:46;3;17/04/2020 12:46;CitiBank Colombia;Mobile Banking;;;STA-200417-011572;Day Surg Discharged;1;0
Cards;Elective;17/04/2020 12:41;2;17/04/2020 12:41;CitiBank Colombia;Mobile Banking;;;STA-200417-011490;Day Surg Discharged;1;115
Banking;Elective;17/04/2020 12:30;4;17/04/2020 12:30;CitiBank Colombia;Fixed Deposit;;;STA-200417-011349;Day Surg Discharged;1;22
Deposit Account;Elective;17/04/2020 12:25;2;17/04/2020 12:25;CitiBank Colombia;Fixed Deposit;;;STA-200417-011284;Day Surg Discharged;1;130
Loans;Emergency;17/04/2020 12:22;2;17/04/2020 12:22;CitiBank Colombia;Current Account;;;STA-200417-011239;ED Discharged;1;78
Investment;Elective;17/04/2020 12:21;3;17/04/2020 12:21;CitiBank Colombia;Fixed Deposit;;;STA-200417-011218;Day Surg Discharged;1;61
Cards;Elective;17/04/2020 12:04;2;17/04/2020 12:04;CitiBank Colombia;Fixed Deposit;;;STA-200417-011009;Day Surg Discharged;1;79
Banking;Elective;17/04/2020 12:03;3;17/04/2020 12:03;CitiBank Colombia;Mobile Banking;;;STA-200417-011008;Day Surg Discharged;1;67
Deposit Account;Elective;17/04/2020 12:00;2;17/04/2020 12:00;CitiBank Colombia;Mobile Banking;;;STA-200417-010948;Day Surg Discharged;1;134
Loans;Elective;17/04/2020 11:59;3;17/04/2020 11:59;CitiBank Colombia;Mobile Banking;;;STA-200417-010924;Day Surg Discharged;1;43
Investment;Elective;17/04/2020 11:59;3;17/04/2020 11:59;CitiBank Colombia;Mobile Banking;;;STA-200417-010922;Day Surg Discharged;1;115
Cards;Elective;17/04/2020 11:59;2;17/04/2020 11:59;CitiBank Colombia;Savings Account;;;STA-200417-010915;Discharged;1;94
Banking;Elective;17/04/2020 11:58;2;17/04/2020 11:58;CitiBank Colombia;Savings Account;;;STA-200417-010902;Discharged;1;103
Deposit Account;Emergency;17/04/2020 11:57;6;17/04/2020 11:57;CitiBank Colombia;Current Account;;;STA-200417-010894;ED Discharged;1;20
Loans;Elective;17/04/2020 11:55;3;17/04/2020 11:55;CitiBank Colombia;Balance Enquiry;;;STA-200417-010859;Day Surg Discharged;1;83
Investment;Elective;17/04/2020 11:40;3;17/04/2020 11:40;CitiBank Colombia;Balance Enquiry;;;STA-200417-010650;Day Surg Discharged;1;86
Cards;Elective;17/04/2020 11:39;2;17/04/2020 11:39;CitiBank Colombia;Debit Card;;;STA-200417-010624;Day Surg Discharged;1;111
Banking;Elective;17/04/2020 11:39;3;17/04/2020 11:39;CitiBank Colombia;Debit Card;;;STA-200417-010621;Day Surg Discharged;1;123
Deposit Account;Elective;17/04/2020 11:37;4;17/04/2020 11:37;CitiBank Colombia;Credit Card;;;STA-200417-010585;Day Surg Discharged;1;8
Loans;Elective;17/04/2020 11:35;2;17/04/2020 11:35;CitiBank Colombia;Credit Card;;;STA-200417-010551;Day Surg Discharged;1;103
Investment;Emergency;17/04/2020 11:34;2;17/04/2020 11:34;CitiBank Colombia;Current Account;;;STA-200417-010529;ED Discharged;1;93
Cards;Elective;17/04/2020 11:34;6;17/04/2020 11:34;CitiBank Colombia;Debit Card;;;STA-200417-010526;Day Surg Discharged;1;14
Banking;Elective;17/04/2020 11:33;3;17/04/2020 11:33;CitiBank Colombia;Debit Card;;;STA-200417-010521;Day Surg Discharged;1;27
Deposit Account;Elective;17/04/2020 11:27;6;17/04/2020 11:27;CitiBank Colombia;Debit Card;;;STA-200417-010393;Day Surg Discharged;1;59
Loans;Elective;17/04/2020 11:05;6;17/04/2020 11:05;CitiBank Colombia;Debit Card;;;STA-200417-010017;Day Surg Discharged;1;66
Investment;Elective;17/04/2020 11:03;3;17/04/2020 11:03;CitiBank Colombia;Mobile Banking;;;STA-200417-009982;OBS Discharged;1;80
Cards;Elective;17/04/2020 10:56;2;17/04/2020 10:56;CitiBank Colombia;Mobile Banking;;;STA-200417-009831;OBS Discharged;1;87
Banking;Elective;17/04/2020 10:54;3;17/04/2020 10:54;CitiBank Colombia;Mobile Banking;;;STA-200417-009801;OBS Discharged;1;118
Deposit Account;Emergency;17/04/2020 10:54;2;17/04/2020 10:54;CitiBank Colombia;Current Account;;;STA-200417-009792;ED Discharged;1;84
Loans;Emergency;17/04/2020 10:53;4;17/04/2020 10:53;CitiBank Colombia;Current Account;;;STA-200417-009777;ED Discharged;1;39
Investment;Elective;17/04/2020 10:45;6;17/04/2020 10:45;CitiBank Colombia;Debit Card;;;STA-200417-009650;Day Surg Discharged;1;9
Cards;Elective;17/04/2020 10:41;3;17/04/2020 10:41;CitiBank Colombia;Debit Card;;;STA-200417-009575;Day Surg Discharged;1;47
Banking;Elective;17/04/2020 10:40;3;17/04/2020 10:40;CitiBank Colombia;Debit Card;;;STA-200417-009550;Discharged;1;37
Deposit Account;Elective;17/04/2020 10:38;6;17/04/2020 10:38;CitiBank Colombia;Debit Card;;;STA-200417-009516;Discharged;1;64
Loans;Elective;17/04/2020 10:21;6;17/04/2020 10:21;CitiBank Colombia;Mobile Banking;;;STA-200417-009212;Day Surg Discharged;1;36
Investment;Elective;17/04/2020 10:14;3;17/04/2020 10:14;CitiBank Colombia;Mobile Banking;;;STA-200417-009080;Day Surg Discharged;1;54
Cards;Emergency;17/04/2020 10:14;3;17/04/2020 10:14;CitiBank Colombia;Current Account;;;STA-200417-009074;ED Discharged;1;43
Banking;Emergency;17/04/2020 10:12;3;17/04/2020 10:12;CitiBank Colombia;Current Account;;;STA-200417-009034;ED Discharged;1;95
Deposit Account;Elective;17/04/2020 10:09;4;17/04/2020 10:09;CitiBank Colombia;Fixed Deposit;;;STA-200417-008973;Day Surg Discharged;1;2
Loans;Elective;17/04/2020 10:04;6;17/04/2020 10:04;CitiBank Colombia;Fixed Deposit;;;STA-200417-008880;Day Surg Discharged;1;64
Investment;Emergency;17/04/2020 10:01;2;17/04/2020 10:01;CitiBank Colombia;Current Account;;;STA-200417-008848;ED Discharged;1;108
Cards;Emergency;17/04/2020 10:00;4;17/04/2020 10:00;CitiBank Colombia;Current Account;;;STA-200417-008818;ED Discharged;1;35
